Language,InventorySize,GapCount
basq1250,29,2
bats1242,33,3
beem1239,16,2
begb1241,24,4
beli1260,22,1
bena1262,22,2
benc1235,29,1
beng1286,24,1
berb1259,20,4
bero1242,24,2
bini1246,25,1
biss1248,23,1
bodo1269,15,1
boko1266,19,1
bora1271,26,3
brah1256,26,2
bret1244,32,1
brok1247,41,1
budu1250,31,2
buru1296,38,5
came1252,20,2
cent1973,24,1
cerm1238,21,2
chac1251,16,4
chah1248,36,2
cham1315,21,2
chee1238,30,1
chen1255,46,3
chim1302,31,2
cupe1243,27,5
cuvo1236,27,1
dagb1246,23,1
daza1242,21,3
dege1246,24,2
degg1238,22,2
deny1238,22,3
dhiv1236,27,2
dime1235,53,3
domp1238,22,1
dong1285,28,5
doya1240,22,1
dyul1238,23,1
dzal1238,37,2
dzon1239,32,1
east2295,24,2
east2304,35,1
ebir1243,19,2
efut1241,30,3
eggo1239,30,3
ekpe1253,24,1
emai1241,27,4
emer1243,16,1
esim1238,29,1
faro1244,16,3
fefe1239,23,2
fern1234,21,4
food1238,23,1
fuli1240,24,1
furu1242,31,2
gaaa1244,24,2
gaga1249,28,2
gamo1243,26,3
garo1247,16,1
gbag1258,20,1
gbar1246,24,1
gbay1281,28,1
gbay1287,29,1
gheg1238,27,1
ghom1247,36,3
gily1242,28,1
gonj1241,23,3
guat1253,17,1
gume1239,35,3
gumu1244,34,2
gwen1239,24,4
haio1238,24,3
hame1242,25,2
hang1258,23,1
haya1250,19,3
hebr1245,20,4
heib1243,27,2
hela1238,36,1
here1253,19,3
hili1240,20,2
hmon1264,48,3
huml1238,41,1
hung1274,25,1
iban1261,25,2
idom1241,47,2
ifee1241,19,1
iged1239,24,1
ikwe1242,23,2
ikwo1238,29,1
indo1316,23,3
ingu1240,52,2
irig1241,79,4
iris1253,34,3
isok1239,28,2
izer1241,27,1
jama1262,21,2
java1254,24,4
jere1244,24,1
jerr1238,23,2
jude1256,23,3
kaba1278,44,4
kabi1261,22,1
kagf1238,36,2
kahe1238,22,4
kako1242,33,2
kang1281,27,3
kara1474,46,1
kare1338,30,1
kari1301,22,1
kase1253,21,1
keli1248,36,1
kera1255,24,1
khal1271,23,3
kinn1249,31,1
kiny1244,39,1
kiow1266,22,1
kiri1254,24,1
kisa1263,24,4
koko1269,22,2
kond1295,23,1
kond1303,23,1
konn1242,31,1
koyr1240,23,3
koyr1242,23,2
krio1253,25,3
kuni1268,20,1
kuoo1238,29,1
